S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine (liters),Power,Seats,New_Price,Price,updated_price
1741,BMW X6 xDrive 40d,Hyderabad,2013,58000,Diesel,Automatic,First,11.2,2.993,306.0,4.0,,48.0,57574.67
1742,Renault Duster 110PS Diesel RxZ,Hyderabad,2012,110224,Diesel,Manual,First,19.01,1.461,108.45,5.0,,6.1,7316.78
1743,Maruti Wagon R LXI,Ahmedabad,2010,21002,Petrol,Manual,First,22.5,0.998,67.04,5.0,4.74,2.75,5685.5
1744,Maruti Ertiga SHVS VDI,Pune,2017,121000,Diesel,Manual,First,24.52,1.248,88.5,7.0,,8.0,9595.78
1745,Maruti Alto LXi BSIII,Jaipur,2010,73513,Petrol,Manual,First,19.7,0.796,46.3,5.0,,1.85,2219.02
1746,Maruti Wagon R AMT VXI Option,Jaipur,2015,34000,Petrol,Automatic,First,20.51,0.998,67.0,5.0,,3.85,4617.97
1747,Maruti Eeco 7 Seater Standard,Coimbatore,2017,28371,Petrol,Manual,First,15.1,1.196,73.0,7.0,4.98,4.74,5973.37
1748,Renault Duster 110PS Diesel RxL,Kochi,2013,74755,Diesel,Manual,First,19.6,1.461,108.45,5.0,,5.63,6753.03
1749,Maruti Zen Estilo 1.1 LX BSIII,Kochi,2011,25805,Petrol,Manual,First,18.2,1.061,64.0,5.0,,2.62,3142.62
1750,Renault Duster Petrol RxL,Kochi,2015,82603,Petrol,Manual,First,13.06,1.598,102.53,5.0,,4.9,5877.41
1751,Honda Civic 2006-2010 1.8 S MT,Chennai,2006,110000,Petrol,Manual,First,13.5,1.799,130.0,5.0,,2.65,3178.6
1752,Mahindra XUV500 W8 2WD,Delhi,2012,88000,Diesel,Manual,First,16.0,2.179,140.0,7.0,,5.99,7184.84
1753,Mahindra Verito 1.5 D6 BSIV,Chennai,2011,110000,Diesel,Manual,Second,21.0,1.461,64.1,5.0,,2.4,2878.73
1754,Renault KWID Climber 1.0 MT,Delhi,2017,15000,Petrol,Manual,First,21.7,0.999,67.0,5.0,4.98,4.25,5973.37
1755,Porsche Cayenne Diesel,Mumbai,2013,70000,Diesel,Automatic,First,15.15,2.967,240.0,5.0,,40.0,47978.89
1756,Maruti Swift DDiS VDI,Pune,2008,150000,Diesel,Manual,Second,28.4,1.248,74.0,5.0,,2.7,3238.58
1757,Datsun GO T Option,Hyderabad,2016,19000,Petrol,Manual,First,20.63,1.198,67.0,5.0,,2.99,3586.42
1758,Hyundai i20 1.2 Magna,Chennai,2011,37442,Petrol,Manual,First,18.5,1.197,80.0,5.0,,3.4,4078.21
1759,BMW 5 Series 2013-2017 520d Luxury Line,Coimbatore,2016,63111,Diesel,Automatic,Second,18.12,1.995,190.0,5.0,,30.8,36943.74
1760,Maruti Ertiga ZDI,Mumbai,2012,88000,Diesel,Manual,First,20.77,1.248,88.8,7.0,,5.85,7016.91
1761,Hyundai Grand i10 Magna,Jaipur,2014,42355,Petrol,Manual,First,18.9,1.197,82.0,5.0,,4.0,4797.89
1762,BMW 3 Series 330i,Coimbatore,2011,75871,Petrol,Automatic,First,9.43,2.996,254.0,5.0,,14.12,16936.55
1763,Chevrolet Cruze LTZ,Mumbai,2011,65000,Diesel,Manual,First,17.9,1.998,163.7,5.0,,4.55,5457.6
1764,Mercedes-Benz M-Class ML 350 4Matic,Pune,2015,69000,Diesel,Automatic,First,0.0,2.987,165.0,5.0,,38.0,45579.94
1765,Maruti Ritz LDi,Jaipur,2011,79232,Diesel,Manual,First,21.1,1.248,73.9,5.0,,2.9,3478.47
1766,Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,Pune,2007,220000,Petrol,Automatic,Second,11.74,1.796,186.0,5.0,,6.0,7196.83
1767,Hyundai i20 1.2 Magna Executive,Kochi,2016,28470,Petrol,Manual,First,18.6,1.197,81.83,5.0,,6.95,8336.33
1768,Hyundai EON 1.0 Kappa Magna Plus Optional,Kolkata,2014,9759,Petrol,Manual,First,20.3,0.998,68.05,5.0,,2.75,3298.55
1769,Maruti Swift VDI,Pune,2014,75216,Diesel,Manual,First,22.9,1.248,74.0,5.0,,5.1,6117.31
1770,Hyundai i20 Sportz 1.2,Chennai,2017,8000,Petrol,Manual,First,18.6,1.197,81.83,5.0,,6.75,8096.44
1771,Maruti Ritz ZXi,Mumbai,2014,59451,Petrol,Manual,First,18.5,1.197,85.8,5.0,,3.69,4426.05
1772,Maruti Swift VDI,Hyderabad,2013,53996,Diesel,Manual,First,22.9,1.248,74.0,5.0,,5.45,6537.12
1773,Honda WRV i-VTEC VX,Kochi,2018,15135,Petrol,Manual,First,17.5,1.199,88.7,5.0,10.57,9.29,12678.42
1774,Hyundai Xcent 1.2 Kappa AT S Option,Chennai,2015,53000,Petrol,Automatic,Second,16.9,1.197,81.86,5.0,,4.0,4797.89
1775,Honda Amaze E i-Vtech,Kolkata,2013,40000,Petrol,Manual,First,18.0,1.198,86.7,5.0,,2.9,3478.47
1776,Hyundai Verna 1.6 SX VTVT (O),Pune,2013,21107,Petrol,Manual,First,17.1,1.591,121.3,5.0,,5.25,6297.23
1777,Honda City V MT,Mumbai,2014,56000,Petrol,Manual,First,16.8,1.497,116.3,5.0,,5.75,6896.97
1778,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,2017,19623,Petrol,Manual,First,15.29,1.591,121.3,5.0,,13.12,15737.08
1779,Mahindra XUV500 W8 2WD,Kochi,2014,70963,Diesel,Manual,First,15.1,2.179,140.0,7.0,,7.83,9391.87
1780,Maruti Wagon R LXI CNG,Mumbai,2013,25755,CNG,Manual,First,39.900000000000006,0.998,58.16,5.0,,3.15,3778.34
1781,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2013,51450,Diesel,Manual,First,12.8,2.494,102.0,7.0,,10.4,12474.51
1782,Maruti Swift VDI,Pune,2012,75000,Diesel,Manual,First,22.9,1.248,74.0,5.0,,4.35,5217.7
1783,Maruti Wagon R VXI AMT,Coimbatore,2017,37832,Petrol,Automatic,First,22.5,0.998,67.0,5.0,6.33,5.23,7592.66
1784,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,43041,Petrol,Manual,First,18.9,1.197,81.86,5.0,8.1,6.01,9715.73
1785,Honda Amaze VX i-DTEC,Hyderabad,2014,97236,Diesel,Manual,First,25.8,1.498,98.6,5.0,,4.4,5277.68
1786,BMW 3 Series 320d Highline,Chennai,2010,83000,Diesel,Automatic,First,16.07,1.995,181.0,5.0,,12.75,15293.27
1787,Ford Figo Petrol Titanium,Delhi,2011,65000,Petrol,Manual,First,15.6,1.196,70.0,5.0,,2.4,2878.73
1788,Volkswagen Ameo 1.2 MPI Trendline,Kochi,2018,46007,Petrol,Manual,First,17.0,1.198,73.75,5.0,,5.71,6848.99
1789,Ford Ecosport 1.5 DV5 MT Trend,Kochi,2015,65925,Diesel,Manual,Second,22.7,1.498,89.84,5.0,,5.49,6585.1
1790,Honda City 1.3 EXI,Pune,2004,73500,Petrol,Manual,Second,13.0,1.343,90.0,5.0,,1.3,1559.31
1791,Mahindra XUV500 W6 2WD,Kolkata,2014,55000,Diesel,Manual,First,16.0,2.179,140.0,7.0,,8.5,10195.51
1792,Toyota Fortuner 4x2 Manual,Delhi,2012,115000,Diesel,Manual,First,13.0,2.982,168.5,7.0,,12.99,15581.14
1793,Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2017,31184,Petrol,Manual,First,18.9,1.197,81.86,5.0,6.4,5.0,7676.62
1794,Maruti Dzire AMT ZDI Plus,Pune,2017,41747,Diesel,Automatic,First,28.4,1.248,73.75,5.0,11.26,9.0,13506.06
1795,Maruti Swift VDI,Kochi,2016,38143,Diesel,Manual,First,22.9,1.248,74.0,5.0,,5.22,6261.25
1796,Volkswagen Polo Petrol Highline 1.2L,Pune,2012,19030,Petrol,Manual,First,16.47,1.198,73.9,5.0,,3.8,4557.99
1797,Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,2019,20877,Petrol,Manual,First,18.16,1.197,78.9,5.0,7.59,7.27,9103.99
1798,Maruti Swift VXI,Mumbai,2016,23555,Petrol,Manual,First,22.0,1.197,81.8,5.0,7.0,5.1,8396.31
1799,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Bangalore,2013,29000,Diesel,Automatic,First,14.21,2.143,203.0,5.0,,29.0,34784.69
1800,Maruti Wagon R VXI,Pune,2013,61000,Petrol,Manual,First,18.9,0.998,67.1,5.0,,2.9,3478.47
1801,Tata Nano Lx BSIV,Kochi,2012,4187,Petrol,Manual,First,26.0,0.624,35.0,4.0,,1.38,1655.27
1802,Skoda Laura 1.8 TSI Ambiente,Bangalore,2011,46000,Petrol,Manual,First,13.4,1.798,157.8,5.0,,5.5,6597.1
1803,Volkswagen Polo GT TSI,Mumbai,2016,28000,Petrol,Automatic,First,17.21,1.197,103.5,5.0,11.26,7.25,13506.06
1804,Hyundai Verna 1.6 SX,Coimbatore,2014,83558,Diesel,Manual,First,22.32,1.582,126.32,5.0,,6.98,8372.32
1805,Tata Bolt Quadrajet XE,Hyderabad,2017,40000,Diesel,Manual,First,22.95,1.248,74.0,5.0,7.43,5.25,8912.08
1806,Hyundai EON D Lite Plus,Kolkata,2013,36000,Petrol,Manual,First,21.1,0.814,55.2,5.0,,1.95,2338.97
1807,Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2014,21000,Diesel,Automatic,First,17.11,1.968,174.33,5.0,,24.5,29387.07
1808,Toyota Innova 2.5 GX (Diesel) 7 Seater,Kochi,2013,62162,Diesel,Manual,First,12.99,2.494,100.0,7.0,,8.31,9967.61
1809,Mercedes-Benz M-Class ML 350 CDI,Hyderabad,2012,83000,Diesel,Automatic,First,11.74,2.987,254.8,5.0,,36.0,43181.0
1810,Hyundai Xcent 1.1 CRDi S,Pune,2015,58000,Diesel,Manual,First,24.4,1.12,71.0,5.0,,5.5,6597.1
1811,Honda Accord 2.4 AT,Kochi,2011,62332,Petrol,Automatic,First,11.7,2.354,177.6,5.0,,5.89,7064.89
1812,Volkswagen Vento 1.5 TDI Highline,Kochi,2016,50867,Diesel,Manual,First,20.34,1.498,103.2,5.0,,7.95,9535.8
1813,Hyundai i20 Sportz Petrol,Mumbai,2010,73000,Petrol,Manual,First,17.0,1.197,80.0,5.0,,2.75,3298.55
1814,Hyundai Elantra CRDi SX,Jaipur,2012,98008,Diesel,Manual,First,22.7,1.582,126.24,5.0,,6.25,7496.7
1815,Ford Figo Diesel Titanium,Hyderabad,2015,36000,Diesel,Manual,First,20.0,1.399,68.05,5.0,,4.95,5937.39
1816,Hyundai i20 1.2 Magna Executive,Kochi,2019,27339,Petrol,Manual,First,18.6,1.197,81.83,5.0,,6.27,7520.69
1817,Hyundai Verna 1.6 CRDi SX,Kolkata,2017,25000,Diesel,Manual,First,23.9,1.582,126.2,5.0,,8.65,10375.43
1818,Hyundai Grand i10 Asta,Kolkata,2014,37000,Petrol,Manual,First,18.9,1.197,82.0,5.0,,3.5,4198.15
1819,Audi Q5 2.0 TDI,Hyderabad,2015,56000,Diesel,Automatic,First,14.16,1.968,174.3,5.0,,35.0,41981.53
1820,Maruti Swift Dzire ZXi,Kolkata,2015,27000,Petrol,Manual,First,17.5,1.298,85.8,5.0,,4.45,5337.65
1821,Hyundai i20 Magna,Kolkata,2012,37000,Petrol,Manual,First,18.5,1.197,80.0,5.0,,2.65,3178.6
1822,Mahindra KUV 100 mFALCON D75 K4 Plus 5str,Kolkata,2017,10500,Diesel,Manual,First,25.32,1.198,77.0,5.0,,4.7,5637.52
1823,Hyundai Elantra 1.6 SX Option AT,Ahmedabad,2014,49000,Diesel,Automatic,First,18.23,1.582,126.2,5.0,22.43,8.9,26904.16
1824,Jeep Compass 2.0 Limited Option Black,Mumbai,2017,7000,Diesel,Manual,First,17.1,1.956,170.0,5.0,24.02,17.45,28811.32
1825,Maruti Vitara Brezza VDi Option,Coimbatore,2017,71256,Diesel,Manual,First,24.3,1.248,88.5,5.0,,9.58,11490.94
1826,Toyota Corolla Altis 1.8 GL,Kochi,2012,83184,Petrol,Manual,First,14.28,1.798,138.03,5.0,21.69,6.22,26016.55
1827,Mahindra XUV500 W8 2WD,Kolkata,2013,87284,Diesel,Manual,First,15.1,2.179,140.0,7.0,,7.8,9355.88
1828,BMW X1 xDrive 20d xLine,Mumbai,2016,7000,Diesel,Automatic,First,20.68,1.995,190.0,5.0,,27.75,33285.35
1829,Hyundai i20 Magna 1.4 CRDi,Pune,2015,29000,Diesel,Manual,Second,22.54,1.396,88.73,5.0,,7.0,8396.31
1830,Mercedes-Benz GLE 350d,Coimbatore,2017,33552,Diesel,Automatic,First,11.57,2.987,254.79,5.0,95.13,64.87,114105.79
1831,Chevrolet Cruze LTZ,Bangalore,2013,64000,Diesel,Manual,Second,17.3,1.998,163.7,5.0,,6.5,7796.57
1832,Hyundai i20 1.2 Magna,Jaipur,2011,82000,Petrol,Manual,Second,18.5,1.197,80.0,5.0,,2.7,3238.58
1833,Honda Brio S MT,Mumbai,2012,70000,Petrol,Manual,Second,19.4,1.198,86.8,5.0,,2.5,2998.68
1834,Nissan Evalia 2013 XL,Hyderabad,2013,166194,Diesel,Manual,First,19.3,1.461,84.8,7.0,,3.9,4677.94
1835,Volkswagen Polo Petrol Trendline 1.2L,Delhi,2015,58000,Petrol,Manual,First,16.47,1.198,73.9,5.0,,3.95,4737.92
1836,Hyundai i10 Sportz 1.2,Chennai,2010,77000,Petrol,Manual,Second,20.36,1.197,78.9,5.0,,2.1,2518.89
1837,Chevrolet Cruze LTZ AT,Pune,2009,73204,Diesel,Automatic,Third,18.1,1.991,147.9,4.0,,3.5,4198.15
1838,Hyundai i10 Era,Hyderabad,2007,70000,Petrol,Manual,Second,19.81,1.086,68.05,5.0,,2.0,2398.94
1839,Maruti Ertiga VDI,Delhi,2014,79870,Diesel,Manual,First,20.77,1.248,88.76,7.0,,5.35,6417.18
1840,Honda Amaze S i-Dtech,Delhi,2013,90000,Diesel,Manual,First,25.8,1.498,98.6,5.0,,3.8,4557.99
1841,Mercedes-Benz A Class A180 Sport,Mumbai,2016,17000,Petrol,Automatic,First,15.5,1.595,122.0,5.0,34.63,17.25,41537.72
1842,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,46493,Petrol,Manual,First,18.9,1.197,81.86,5.0,6.32,5.53,7580.66
1843,Hyundai i10 Sportz 1.2,Pune,2009,68000,Petrol,Manual,Third,20.36,1.197,78.9,5.0,,1.95,2338.97
1844,Maruti Swift DDiS ZDI Plus,Hyderabad,2017,2000,Diesel,Manual,First,28.4,1.248,74.0,5.0,,8.2,9835.67
1845,Honda City 1.3 EXI,Pune,1999,140000,Petrol,Manual,First,13.0,1.343,90.0,5.0,,0.9,1079.53
1846,Toyota Innova 2.5 GX (Diesel) 7 Seater,Pune,2013,255000,Diesel,Manual,Third,12.99,2.494,100.6,7.0,,6.5,7796.57
1847,Mini Cooper Countryman D High,Coimbatore,2014,45535,Diesel,Automatic,First,23.8,1.998,112.0,5.0,,19.41,23281.76
1848,Fiat Linea T-Jet Active,Coimbatore,2016,39228,Petrol,Manual,First,15.7,1.368,112.4,5.0,,6.58,7892.53
1849,Chevrolet Aveo 1.4 LT,Mumbai,2011,57000,Petrol,Manual,Second,14.49,1.399,92.7,5.0,,2.1,2518.89
1850,Hyundai i10 Era 1.1,Chennai,2008,85445,Petrol,Manual,Second,19.81,1.086,68.05,5.0,,2.0,2398.94
1851,Hyundai Xcent 1.1 CRDi Base,Delhi,2015,54000,Diesel,Manual,First,24.4,1.12,71.0,5.0,,3.7,4438.05
1852,Maruti Celerio VXI AT,Mumbai,2014,53000,Petrol,Automatic,First,23.1,0.998,67.04,5.0,,3.8,4557.99
1853,Hyundai i10 Sportz,Jaipur,2014,60000,Petrol,Manual,First,20.36,1.197,78.9,5.0,,3.25,3898.28
1854,Renault Duster 85PS Diesel RxL,Coimbatore,2015,65668,Diesel,Manual,First,19.87,1.461,83.8,5.0,,5.53,6633.08
1855,BMW 3 Series 320d,Ahmedabad,2011,100000,Diesel,Automatic,Second,22.69,1.995,190.0,5.0,43.31,10.9,51949.14
1856,Hyundai Grand i10 Sportz,Kolkata,2018,1800,Petrol,Manual,First,18.9,1.197,82.0,5.0,,5.1,6117.31
1857,Hyundai Santro DX,Hyderabad,2007,96000,Petrol,Manual,Second,0.0,0.999,0.0,5.0,,2.2,2638.84
1858,Chevrolet Spark 1.0 LS,Pune,2009,44200,Petrol,Manual,Second,18.0,0.995,62.0,5.0,,1.6,1919.16
1859,Honda City i VTEC VX Option,Ahmedabad,2018,14000,Petrol,Manual,First,17.4,1.497,117.3,5.0,,11.25,13494.06
1860,Volkswagen Vento Diesel Highline,Chennai,2013,720000,Diesel,Manual,First,20.54,1.598,103.6,5.0,,5.9,7076.89
1861,Toyota Fortuner 4x2 4 Speed AT,Delhi,2012,73000,Diesel,Automatic,First,11.5,2.982,169.0,7.0,,14.4,17272.4
1862,Honda City 1.5 S MT,Delhi,2011,68000,Petrol,Manual,First,17.0,1.497,118.0,5.0,,3.6,4318.1
1863,BMW 5 Series 2013-2017 520d Luxury Line,Jaipur,2017,19543,Diesel,Automatic,First,18.12,1.995,190.0,5.0,,40.5,48578.63
1864,Audi Q5 30 TDI quattro Premium Plus,Bangalore,2014,38000,Diesel,Automatic,Second,14.16,1.968,174.3,5.0,,38.95,46719.44
1865,Maruti Ritz LDi,Delhi,2014,32805,Diesel,Manual,First,23.2,1.248,73.94,5.0,,3.6,4318.1
1866,Volkswagen Vento 1.5 TDI Highline AT,Kochi,2016,44782,Diesel,Automatic,First,21.21,1.498,103.2,5.0,,7.12,8540.24
1867,Honda City i DTEC SV,Kochi,2016,55700,Diesel,Manual,First,26.0,1.498,98.6,5.0,,7.52,9020.03
1868,Audi A4 New 2.0 TDI Multitronic,Delhi,2012,60000,Diesel,Automatic,Second,15.2,1.968,140.8,5.0,,10.35,12414.54
1869,Skoda Rapid 1.6 MPI Elegance,Hyderabad,2014,56000,Petrol,Manual,First,15.0,1.598,103.52,5.0,,7.0,8396.31
1870,Toyota Fortuner 3.0 Diesel,Delhi,2011,60000,Diesel,Manual,First,11.5,2.982,171.0,7.0,,10.85,13014.27
1871,Chevrolet Optra Magnum 2.0 LT BS3,Mumbai,2010,78563,Diesel,Manual,First,16.52,1.991,123.7,5.0,,2.35,2818.76
1872,Maruti Eeco 7 Seater Standard,Mumbai,2014,34669,Petrol,Manual,First,15.1,1.196,73.0,7.0,4.71,2.9,5649.51
1873,Maruti Ciaz ZXi,Delhi,2017,17000,Petrol,Manual,First,20.73,1.373,91.1,5.0,,7.65,9175.96
1874,Maruti Ciaz VDi Plus SHVS,Delhi,2016,66000,Diesel,Manual,First,28.09,1.248,88.5,5.0,,6.4,7676.62
1875,Toyota Innova 2.5 LE 2014 Diesel 7 Seater,Pune,2014,102418,Diesel,Manual,First,12.99,2.494,100.6,7.0,,10.1,12114.67
1876,Maruti Swift Dzire VXI,Kolkata,2014,48800,Petrol,Manual,First,19.1,1.197,85.8,5.0,,4.25,5097.76
1877,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,10601,Diesel,Automatic,First,11.36,2.755,171.5,7.0,20.74,19.65,24877.05
1878,Tata Indica V2 eLX,Pune,2017,8200,Diesel,Manual,First,25.0,1.396,69.0,5.0,,4.4,5277.68
1879,Hyundai i20 Magna,Jaipur,2012,100000,Petrol,Manual,First,18.5,1.197,82.85,5.0,,3.25,3898.28
1880,Ford Fiesta 1.4 Duratorq ZXI,Pune,2012,78000,Diesel,Manual,First,17.8,1.399,68.0,5.0,,2.8,3358.52
1881,Chevrolet Enjoy 1.3 TCDi LS 8,Kolkata,2015,50000,Diesel,Manual,First,18.2,1.248,73.74,8.0,,4.3,5157.73
1882,Ford Fiesta 1.4 Duratorq EXI,Chennai,2006,89327,Diesel,Manual,Third,17.8,1.399,68.0,5.0,,1.55,1859.18
1883,Honda CR-V 2.4 MT,Chennai,2007,98000,Petrol,Manual,Second,10.8,2.354,152.0,5.0,,4.7,5637.52
1884,Honda Jazz 1.2 VX i VTEC,Kochi,2017,24700,Petrol,Manual,First,18.7,1.199,88.7,5.0,,7.07,8480.27
1885,Mercedes-Benz GLS 350d Grand Edition,Delhi,2018,6000,Diesel,Automatic,First,11.0,2.987,258.0,7.0,,79.0,94758.31
1886,Hyundai Grand i10 1.2 Kappa Sportz,Delhi,2018,9434,Petrol,Manual,First,18.9,1.197,81.86,5.0,6.71,5.75,8048.46
1887,Maruti Ritz VXi,Mumbai,2012,29000,Petrol,Manual,First,18.5,1.197,85.8,5.0,,3.25,3898.28
1888,Volkswagen Ameo 1.5 TDI Highline AT,Coimbatore,2017,22440,Diesel,Automatic,First,22.0,1.498,108.495,5.0,,8.89,10663.31
1889,Honda City i VTEC SV,Mumbai,2015,73070,Petrol,Manual,First,17.4,1.497,117.3,5.0,,5.9,7076.89
1890,Honda Jazz 1.2 S i VTEC,Kolkata,2016,21771,Petrol,Manual,First,18.7,1.199,88.7,5.0,,4.95,5937.39
1891,Maruti Swift Ldi BSIV,Delhi,2014,62000,Diesel,Manual,First,17.8,1.248,75.0,5.0,,3.75,4498.02
1892,Hyundai Creta 1.6 CRDi AT SX Plus,Kochi,2017,37024,Diesel,Automatic,First,17.01,1.582,126.2,5.0,,10.97,13158.21
1893,Audi A7 2011-2015 3.0 TDI Quattro,Kochi,2014,60336,Diesel,Automatic,Second,14.4,2.967,241.4,5.0,,24.94,29914.84
1894,Hyundai EON D Lite Plus,Kolkata,2014,26008,Petrol,Manual,First,21.1,0.814,55.2,5.0,,1.97,2362.96
1895,Ford Figo Diesel EXI,Jaipur,2010,90000,Diesel,Manual,Second,20.0,1.399,68.0,5.0,,1.4,1679.26
1896,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2018,35569,Petrol,Manual,First,17.0,1.198,73.75,5.0,8.68,7.27,10411.42
1897,Renault Scala Diesel RxL,Kolkata,2013,40000,Diesel,Manual,First,21.64,1.461,84.8,5.0,,4.0,4797.89
1898,Honda Jazz 1.2 V i VTEC,Kolkata,2015,45000,Petrol,Manual,First,18.7,1.199,88.7,5.0,,4.75,5697.49
1899,Hyundai i20 1.2 Sportz,Delhi,2015,42000,Petrol,Manual,First,17.0,1.197,80.0,5.0,,5.1,6117.31
1900,Audi A4 3.0 TDI Quattro Premium,Coimbatore,2012,46913,Diesel,Automatic,First,14.94,2.967,241.4,5.0,,16.11,19323.5
1901,Mahindra Ssangyong Rexton RX7,Delhi,2014,62000,Diesel,Automatic,First,11.18,2.696,184.0,7.0,,10.55,12654.43
1902,Toyota Fortuner 2.8 2WD AT,Ahmedabad,2017,15000,Diesel,Automatic,First,12.9,2.755,174.5,7.0,34.45,30.0,41321.82
1903,Skoda Octavia Classic 1.9 TDI MT,Kolkata,2002,69000,Diesel,Manual,First,18.7,1.896,66.0,5.0,,1.6,1919.16
1904,Mercedes-Benz New C-Class 250 CDI Classic,Hyderabad,2012,41367,Diesel,Automatic,First,15.8,2.148,170.0,5.0,,18.49,22178.24
1905,Maruti Ciaz 1.4 Zeta,Kochi,2018,15982,Petrol,Manual,First,20.73,1.373,91.1,5.0,,9.96,11946.74
1906,Maruti Swift ZDi,Hyderabad,2013,99595,Diesel,Manual,Second,22.9,1.248,74.0,5.0,,4.75,5697.49
1907,Toyota Qualis FS B3,Bangalore,2002,63000,Diesel,Manual,Third,13.1,2.446,75.0,10.0,,3.65,4378.07
1908,BMW 5 Series 2007-2010 525d Sedan,Delhi,2012,49000,Diesel,Automatic,Second,16.73,2.495,218.0,5.0,,15.5,18591.82
1909,Mitsubishi Pajero 2.8 SFX BSIII Dual Tone,Kochi,2013,48272,Diesel,Manual,First,10.5,2.835,116.9,6.0,,11.82,14177.76
1910,Toyota Corolla H2,Delhi,2008,63000,Petrol,Manual,First,13.4,1.794,125.0,5.0,,2.05,2458.92
1911,Maruti Wagon R LXI CNG,Ahmedabad,2016,77000,CNG,Manual,First,39.900000000000006,0.998,58.16,5.0,,3.3,3958.26
1912,Maruti Omni E MPI STD BS IV,Mumbai,2013,11734,Petrol,Manual,First,16.8,0.796,34.2,8.0,,2.25,2698.81
1913,Audi A6 2011-2015 2.0 TDI,Kochi,2014,62012,Diesel,Automatic,First,17.68,1.968,174.33,5.0,,20.12,24133.38
1914,Hyundai Xcent 1.2 Kappa S Option CNG,Chennai,2017,46000,CNG,Manual,First,37.5,1.197,81.86,5.0,,4.95,5937.39
1915,Honda Jazz 1.5 S i DTEC,Coimbatore,2016,45449,Diesel,Manual,First,27.3,1.498,98.6,5.0,,7.48,8972.05
1916,Mercedes-Benz E-Class 200 Kompressor Elegance,Mumbai,2004,85000,Petrol,Automatic,Second,10.5,1.796,157.7,5.0,,5.5,6597.1
1917,Honda City 1.5 EXI,Jaipur,2005,88000,Petrol,Manual,Second,13.0,1.493,100.0,,,1.7,2039.1
1918,Audi A4 2.0 TDI,Kochi,2013,45330,Diesel,Automatic,First,16.55,1.968,147.51,5.0,,13.19,15821.04
1919,Maruti Swift Dzire VXI,Mumbai,2012,88000,Petrol,Manual,First,19.1,1.197,85.8,5.0,,3.85,4617.97
1920,Maruti Dzire VDI,Delhi,2016,45376,Diesel,Manual,First,28.4,1.248,73.75,5.0,8.58,5.75,10291.47
1921,Mahindra XUV500 W8 4WD,Pune,2014,81000,Diesel,Manual,First,15.1,2.179,140.0,7.0,,9.0,10795.25
1922,Chevrolet Beat LT,Kochi,2012,83381,Petrol,Manual,First,18.6,1.199,79.4,5.0,,2.21,2650.83
1923,Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,2017,78526,Diesel,Manual,First,23.0,1.498,98.96,5.0,12.67,8.09,15197.31
1924,BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2017,27313,Diesel,Automatic,First,14.69,2.993,258.0,5.0,,48.63,58330.33
1925,Audi Q5 30 TDI quattro Premium Plus,Coimbatore,2015,42747,Diesel,Automatic,Second,14.16,1.968,174.3,5.0,,39.47,47343.17
1926,BMW X1 sDrive 20d xLine,Coimbatore,2015,42265,Diesel,Automatic,Second,20.68,1.995,190.0,5.0,48.18,22.24,57790.57
1927,Hyundai i10 Magna AT,Mumbai,2009,21000,Petrol,Automatic,First,19.2,1.197,80.0,5.0,,2.6,3118.63
1928,Hyundai Creta 1.6 CRDi AT SX Plus,Ahmedabad,2016,55100,Diesel,Automatic,First,17.01,1.582,126.2,5.0,,12.0,14393.67
1929,Audi A4 2.0 TDI 177 Bhp Premium Plus,Chennai,2014,70000,Diesel,Automatic,First,17.11,1.968,174.33,5.0,,18.0,21590.5
1930,Mercedes-Benz S Class 2005 2013 S 350 L,Mumbai,2007,55000,Petrol,Automatic,Third,10.13,3.498,364.9,5.0,,9.99,11982.73
1931,Hyundai i10 Magna,Kolkata,2012,58235,Petrol,Manual,First,20.36,1.197,78.9,5.0,,2.45,2938.71
1932,Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,26000,Diesel,Manual,First,23.0,1.498,98.96,5.0,11.89,8.99,14261.72
1933,Volkswagen Vento Diesel Highline,Kolkata,2011,35000,Diesel,Manual,First,20.54,1.598,103.6,5.0,,3.15,3778.34
1934,Maruti Dzire ZDI Plus,Jaipur,2017,24000,Diesel,Manual,First,28.4,1.248,73.75,5.0,10.48,8.2,12570.47
1935,Mahindra Scorpio 1.99 S10,Ahmedabad,2016,98000,Diesel,Manual,First,15.4,1.997,120.0,7.0,,11.5,13793.93
1936,Hyundai i20 Asta 1.4 CRDi,Coimbatore,2016,44487,Diesel,Manual,First,22.54,1.396,88.73,5.0,,7.3,8756.15
1937,Maruti Alto LXi,Chennai,2008,65000,Petrol,Manual,First,19.7,0.796,46.3,5.0,,1.59,1907.16
